Time,скорость счета 1 канала,скорость счета 2 канала,скорость счета 3 канала,суммарная скорость счета
2020-09-14 18:01:32,4,3,1,4
2020-09-14 18:01:32,3,4,0,4
2020-09-14 18:01:32,4,4,0,4
2020-09-14 18:01:34,6,6,0,6
2020-09-14 18:01:34,3,3,0,3
2020-09-14 18:01:34,6,7,0,7
2020-09-14 18:01:34,6,6,0,6
2020-09-14 18:01:36,5,5,0,5
2020-09-14 18:01:36,7,7,0,7
2020-09-14 18:01:36,7,8,0,8
2020-09-14 18:01:36,6,5,1,6
2020-09-14 18:01:38,8,9,0,9
2020-09-14 18:01:38,9,9,0,9
2020-09-14 18:01:38,5,5,0,5
2020-09-14 18:01:38,3,3,0,3
2020-09-14 18:01:40,9,9,0,9
2020-09-14 18:01:40,11,10,1,11
2020-09-14 18:01:40,11,9,2,11
2020-09-14 18:01:40,5,5,0,5
2020-09-14 18:01:42,5,4,1,5
2020-09-14 18:01:42,2,2,0,2
2020-09-14 18:01:42,7,8,0,8
2020-09-14 18:01:42,8,8,0,8
2020-09-14 18:01:44,3,3,0,3
2020-09-14 18:01:44,2,2,0,2
2020-09-14 18:01:44,5,4,1,5
2020-09-14 18:23:32,6,5,0,6
2020-09-14 18:23:32,3,3,0,3
2020-09-14 18:23:32,8,7,1,8
2020-09-14 18:23:32,4,4,0,4
2020-09-14 18:23:32,9,9,0,9
2020-09-14 18:23:32,8,8,0,8
2020-09-14 18:23:34,2,2,0,2
2020-09-14 18:23:34,3,3,0,3
2020-09-14 18:23:34,4,4,0,4
2020-09-14 18:23:34,6,6,0,6
2020-09-14 18:23:36,6,6,0,6
2020-09-14 18:23:36,5,5,0,5
2020-09-14 18:23:36,8,8,0,8
2020-09-14 18:24:34,2,2,0,2
2020-09-14 18:24:34,9,9,0,9
2020-09-14 18:24:36,1,1,0,1
2020-09-14 18:24:36,7,7,0,7
2020-09-14 18:24:36,5,5,0,5
2020-09-14 18:24:36,10,10,0,10
2020-09-14 18:24:38,3,3,0,3
2020-09-14 18:24:38,4,4,0,4
2020-09-14 18:24:38,8,7,1,8
2020-09-14 18:24:38,1,2,0,2
2020-09-14 18:24:40,7,7,0,7
2020-09-14 18:24:40,5,5,0,5
2020-09-14 18:24:40,4,4,0,4
2020-09-14 18:24:40,7,6,1,7
2020-09-14 18:24:42,7,6,1,7
2020-09-14 18:24:42,10,9,1,10
2020-09-14 18:24:42,7,7,0,7
2020-09-14 18:24:42,10,8,1,10
2020-09-14 18:24:44,3,3,0,3
2020-09-14 18:24:44,4,4,0,4
2020-09-14 18:24:44,4,5,0,6
2020-09-14 18:24:44,3,3,0,3
2020-09-14 18:24:46,5,4,0,5
2020-09-14 18:24:46,6,6,0,6
2020-09-14 18:24:46,6,6,0,6
2020-09-14 18:24:46,8,6,2,8
2020-09-14 18:24:48,9,9,1,10
2020-09-14 18:24:48,7,6,1,7
2020-09-14 18:24:48,3,3,0,3
2020-09-14 18:24:50,6,6,0,6
2020-09-14 18:24:50,9,9,0,9
2020-09-14 18:24:50,6,7,0,7
2020-09-14 18:24:50,4,4,0,4
2020-09-14 18:24:52,6,6,0,6
2020-09-14 18:24:52,11,11,0,11
2020-09-14 18:24:52,5,5,0,5
2020-09-14 18:24:52,6,6,0,6
2020-09-14 18:24:54,7,6,1,7
2020-09-14 18:24:54,5,5,0,5
2020-09-14 18:24:54,11,10,1,11
2020-09-14 18:24:54,8,8,0,8
2020-09-14 18:24:56,2,2,0,2
2020-09-14 18:24:56,6,7,0,7
2020-09-14 18:24:56,6,6,0,6
2020-09-14 18:24:56,6,6,0,6
